Period,Data_value,Magnitude
2018.06,370.112,6
2018.09,385.258,6
2018.12,407.693,6
2019.03,345.4,6
2019.06,364.445,6
2019.09,386.209,6
2019.12,409.094,6
2020.03,327.183,6
2020.06,257.649,6
2020.09,353.746,6
2020.12,384.357,6
2021.03,315.953,6
2021.06,355.379,6
2021.09,338.601,6
2021.12,387.874,6
2022.03,316.165,6
2022.06,373.898,6
2022.09,399.209,6
2022.12,410.306,6
2023.03,336.951,6
2023.06,370.894,6
2023.09,382.759,6
2023.12,403.15,6
2016.06,389.888,6
2016.09,380.045,6
2016.12,400.123,6
2017.03,369.495,6
2017.06,372.588,6
2017.09,374.875,6
2017.12,368.342,6
2018.03,378.754,6
2018.06,378.726,6
2018.09,378.259,6
2018.12,373.022,6
2019.03,381.328,6
2019.06,370.745,6
2019.09,377.913,6
2019.12,375.035,6
2020.03,363.675,6
2020.06,260.865,6
2020.09,345.159,6
2020.12,352.856,6
2021.03,353.384,6
2021.06,358.114,6
2021.09,329.875,6
2021.12,356.503,6
2022.03,355.098,6
2022.06,375.494,6
2022.09,388.622,6
2022.12,377.427,6
2023.03,379.34,6
2023.06,371.802,6
2023.09,372.189,6
2023.12,371.38,6
2016.06,387.061,6
2016.09,383.77,6
2016.12,378.43,6
2017.03,374.35,6
2017.06,371.97,6
2017.09,371.473,6
2017.12,373.522,6
2018.03,376.13,6
2018.06,377.725,6
2018.09,378.091,6
2018.12,376.577,6
2019.03,375.922,6
2019.06,376.318,6
2019.09,375.596,6
2019.12,372.339,6
2020.03,,6
2020.06,,6
2020.09,,6
2020.12,,6
2021.03,,6
2021.06,,6
2021.09,,6
2021.12,,6
2022.03,,6
2022.06,,6
2022.09,,6
2022.12,,6
2023.03,,6
2023.06,,6
2023.09,,6
2023.12,,6
2016.06,3734.807,6
2016.09,3957.477,6
2016.12,4576.421,6
2017.03,4505.752,6
2017.06,4184.357,6
2017.09,4205.956,6
2017.12,5226.248,6
2018.03,4827.727,6
2018.06,4697.729,6
2018.09,5088.738,6
2018.12,5583.698,6
2019.03,4657.027,6
2019.06,4601.594,6
2019.09,4587.091,6
2019.12,5252.434,6
2020.03,4501.587,6
2020.06,3275.733,6
2020.09,3978.747,6
2020.12,4563.174,6
2021.03,4245.935,6
2021.06,4368.417,6
2021.09,4246.492,6
2021.12,5577.05,6
2022.03,5466.055,6
2022.06,2902.561,6
2022.09,2805.714,6
2022.12,3455.817,6
2023.03,2802.736,6
2023.06,2684.633,6
2023.09,2553.597,6
2023.12,3162.447,6
2016.06,3894.437,6
2016.09,4085.97,6
2016.12,4156.806,6
2017.03,4624.579,6
2017.06,4383.504,6
2017.09,4344.813,6
2017.12,4738.484,6
2018.03,4944.397,6
2018.06,4923.768,6
2018.09,5280.81,6
2018.12,5053.532,6
2019.03,4759.635,6
2019.06,4815.338,6
2019.09,4785.943,6
2019.12,4745.444,6
2020.03,4599.981,6
